Reg#,Name,Father,Address,Date of Birth,lastDeg,Reg Date,Reg Status,Deg Status
23,Ghulam Yasin Abdul Mujeeb,Abdul Mujeeb Anwer,H#  714 street #  5 Garrizon Mardan,12-9-74,A-Level,27-8-94,A,C
24,Tayyaba Hussaini,Khurram Hussaini,house #  29 st. #  0 Afindi road peshawar,12-10-74,FSc,1-8-94,A,C
25,Shahid Aun Laghari,Mahtab Muazzam Laghari,House No. 575 S#  95 Pind dadu Mansehra,14-6-76,F.Sc.,5-8-94,A,C
26,Anjum Bhatti,Choudhary Farooq Bhatti,Ho. #  890 Street #  91 Lane 3 Khybar road psh,14-3-76,Fsc,8-8-94,A,C
27,Karam Illahi Haque,Raja Osman Haque,house no. 204 Street #  54 Industrial estate Peshawar,16-3-76,F.Sc.,11-8-94,A,C
28,Shams-ul-Islam Khurshid,Khurshid Baber,h no.751 s no.49  Haider road Haripur,17-11-75,HSSC,15-8-94,A,C
29,Najma Haque,Abdul Qadeer Haque,Ho. No.65 St. no.45  Jamurd  town Psh,19-8-75,A level,18-8-94,A,C
30,Bakht Mujtaba Butt,Haroon Badar Butt,H No.380 St. no.40  Buliyan wali Abbotabad,21-8-75,HSSC,21-8-94,A,C
31,Muazzum Abbasi,Shahid Emmad-ud-Din Abbasi,Ho. no.927 S No.3  Dak ghar Haripur,21-5-75,A level,24-8-94,A,C
32,Nafisa Butt,Mohammad Arman Butt,h# 241 Street No.99  Hayata Abad PSH,23-1-74,A-Level,28-8-94,A,C
33,Haseeb Kaleem,Kaleem Danish,House #  556 Street No. 94 Chandi bazar Attock,24-1-74,FSc,2-8-94,A,C
34,Abdus Sattar Jameel,Jameel Inayyat,H#  870 st. #  89 Mujahid block Mardan,26-10-74,A-Level,5-8-94,A,C
35,Najma Muslim Ansary,Muslim Ansary,house #  417 S#  53 Industrial estate peshawar,26-6-74,FSc,8-8-94,A,C
36,Tanvir Naeem Satti,Sana Ullah Farman Satti,House No. 731 street no. 48 Odean chowk Mansehra,28-7-76,F.Sc.,12-8-94,A,C
37,Jabeen Bhatti,Mirza Nazar Bhatti,Ho. #  46 Street #  43 Jamurd  town psh,28-3-76,Fsc,15-8-94,A,C
38,Abdul Mannan Sarwar Satti,Mohammed Tipu Satti,house no. 593 s no. 7 Lane 3 Khybar road Peshawar,1-11-76,F.Sc.,18-8-94,A,C
39,Aqeel Abdur Rasheed,Abdur Rasheed Shan,ho. # 907 s# 2  Pakistan hostel Mansehra,2-12-76,Fsc,21-8-94,A,C
40,Aliya Shah,Hamid Shah,Ho. No.222 St. no.97  Hayata Abad Psh,4-8-75,A level,25-8-94,A,C
41,Rana AAmir Chohan,Alam Ibrahim Chohan,H No.768 S No.92  Khumar road Abbotabad,6-5-75,HSSC,28-8-94,A,C
42,Ubaid Masood Abbasi,Sameer Safi Abbasi,Ho. no.83 S No.56  Hospital road Haripur,6-5-75,A level,2-8-94,A,C
43,Rozina Durrani,Sheik Mujeeb Durrani,h# 397 St. No.51  Lane 6 Mall road PSH,8-2-74,A-Level,6-8-94,A,C
44,Amjad Gul,Gul Mustansar,House # 944 st. # 46  Kusar coloney Attock,8-10-74,FSc,9-8-94,A,C
45,Yusaf Amjad Gondal,Khurram Gondal,H#  259 S#  42 Jamurd  town PSH,11-6-74,A-Level,12-8-94,A,C
46,Hasina Ansari,Nazir Ansari,house #  573 street no. 5 Lane 3 Khybar road peshawar,11-7-74,FSc,15-8-94,A,C
47,Syed Ghazi Gondal,Farooq Abid Gondal,House No. 120 Street #  0 Eid gha Mansehra,13-3-76,F.Sc.,19-8-94,A,C
48,Maryyum Haqqie,M. Safi Haqqie,Ho. #  434 s#  96 Hayata Abad psh,13-12-76,Fsc,22-8-94,A,C
49,Najum Zarar Satti,Choudhary Atif Satti,house no. 749 s#  91 Jamurd  town Peshawar,15-12-76,F.Sc.,25-8-94,A,C
50,Fazal Abdul Najeeb,Abdul Najeeb Sammi,ho. #  296 St. no. 54 Factory road Mansehra,15-8-76,Fsc,28-8-94,A,C
51,Sonia Satti,Haroon Satti,Ho. No.610 S No.50  Lane 6 Mall road Psh,18-5-75,A level,3-8-94,A,C
52,AAmer Chohan,Shams-ul-Islam Bulbul Chohan,H No.925 S No.45  Nai abadi Abbotabad,18-5-75,HSSC,6-8-94,A,C
53,Shazil Abdul Hannan Baig,Arman Ejaz Baig,Ho. no.239 St. No.8  Pind dadu Haripur,20-2-75,A level,9-8-94,A,C
54,Rabia Chohan,Syyed Kishwar Chohan,h no.786 st. # 4  Lane 3 Khybar road PESHAWAR,22-10-75,HSSC,12-8-94,A,C
55,Qudoos Akmal,Akmal Abdullah,House # 100 st. # 99  Daniyaal town Attock,22-10-74,FSc,16-8-94,A,C
56,Suleman Durrani,Muslim Durrani,H# 415 street no.94  Hayata Abad PSH,24-7-74,A-Level,19-8-94,A,C
57,Noor Jahan Jaffery,Amjad Jaffery,house #  962 Street #  58 Jamurd  town peshawar,25-3-74,FSc,22-8-94,A,C
58,Rana Zulqur nain Khattak,Nazar Mujeeb Khattak,House No. 276 St. #  53 Doley shah Mansehra,27-4-76,F.Sc.,26-8-94,A,C
59,Alina Ch. Usman Ansari,Ch. Usman Ansari,Ho. #  591 s#  48 Lane 6 Mall road psh,27-12-76,Fsc,29-8-94,A,C
60,Shaheen Zabir,Zabir Jan,house no. 137 St. no. 43 Farooqia Sawat,29-8-76,F.Sc.,3-8-94,A,C
61,Mumtaz Haseen,Haseen Muzammil,ho. #  452 street #  7 Chandi bazar Mansehra,29-9-76,Fsc,6-8-94,A,C
62,Kina Alam Sehti,Alam Sehti,Ho. No. 766 S No. 2 Durre Psh,2-5-75,A level,10-8-94,A,C
63,Karam Illahi Adul Qudoos Haq,Qasim Raza Haq,H No.313 St. No.97  Chittian hattian Abbotabad,3-2-75,HSSC,13-8-94,A,C
64,Muhammad Osama Baig,Mujeeb Suleman Baig,Ho. no.628 St. No.93  Odean chowk Haripur,5-2-75,A level,16-8-94,A,C
65,Maheera Syyed Mustansar Chatta,Syyed Mustansar Chatta,h no.942 st. # 56  Jamurd  town PESHAWAR,7-10-75,HSSC,19-8-94,A,C
66,Ismail Taimor,Taimor Ghazanfar,House # 489 street no.51  Mitran walia Attock,7-7-74,FSc,23-8-94,A,C
67,Talha Khan,Munir Khan,H# 803 street no.47  Lane 6 Mall road PSH,9-7-74,A-Level,26-8-94,A,C
68,Firdous Amjad Kazmi,Amjad Kazmi,house #  118 St. #  42 Hayata Abad peshawar,10-4-74,FSc,29-8-94,A,C
69,Babar Khan,Safi Tabraiz Khan,h#  432 s#  5 Khumar road Attock,12-12-74,A-Level,3-8-94,A,C
70,Maria Minhas,Nawabzada Zulqur nain Minhas,Ho. #  979 Street No. 1 Durre psh,12-1-76,Fsc,7-8-94,A,C
71,Shehzad Ajab,Ajab Sammi,house no. 294 street #  96 City Road Sawat,14-9-76,F.Sc.,10-8-94,A,C
72,Saeed Sajid,Sajid Abdul Ahad,ho. #  608 S No. 59 Kusar coloney Mansehra,14-5-76,Fsc,13-8-94,A,C
73,Riffat Shams Awan,Shams Awan,Ho. No. 155 S#  55 Khybar road Psh,16-6-75,A level,17-8-94,A,C
74,Abdul Mannan Abdus Sattar Haq,Akmal Usman Haq,H No.469 St. No.50  Bunkhar gali Abbotabad,17-2-75,HSSC,20-8-94,A,C
75,Khurshid Awan,Syed Kishwar Awan,Ho. no.784 s no.45  Lane 6 Mall road Psh,19-11-75,A level,23-8-94,A,C
76,Firdous Chatta,Muhammad Abdullah Chatta,h no.330 s no.8  Hayata Abad PESHAWAR,21-11-75,HSSC,26-8-94,A,C
77,Mustamsir Haseeb,Haseeb Nabeel,House # 645 street no.4  Lakhan Attock,21-7-74,FSc,1-8-94,A,C
78,Muhammad Najum Namani,Saaleh Namani,H# 960 St. # 99  Durre PSH,23-4-74,A-Level,4-8-94,A,C
79,Saalia Kazmi,Hussain Sammi Kazmi,house # 506 St. # 94  Malik abad Hasanabdal,23-4-74,FSc,7-8-94,A,C
80,Taimor Najum Qureshi,Usman Abuzar Qureshi,h#  821 Street No. 58 Nai abadi Attock,26-1-74,A-Level,10-8-94,A,C
81,Eman Kazmi,Mouhammed Mustafa Kazmi,Ho. #  135 street #  53 Khybar road psh,26-9-76,Fsc,14-8-94,A,C
82,Rehan Osama,Osama Muzammil,house no. 682 street #  48 Koral Sawat,28-9-76,F.Sc.,17-8-94,A,C
83,Masroor Shabi,Shabi Naeem,ho. #  996 S#  44 Daniyaal town Mansehra,28-6-76,Fsc,20-8-94,A,C
84,Afsheen Niazi,Jabir Niazi,House No. 311 St. No. 7 Hayata Abad Peshawar,1-2-76,F.Sc.,23-8-94,A,C
85,Momd. Mazhar Sherazi,Zubair Baqir Sherazi,H No. 858 Street #  2 Byaar Abbotabad,1-3-75,HSSC,27-8-94,A,C
86,Rehan Zaidi,Qudoos Kareem Zaidi,Ho. no.172 s no.98  Doley shah Haripur,4-11-75,A level,1-8-94,A,C
87,Faiqa Rana Qutab Khanzada,Rana Qutab Khanzada,h no.487 street no.61  Lane 6 Mall road PESHAWAR,6-7-75,HSSC,4-8-94,A,C
88,Ayyaz Mujeeb,Mujeeb Naeem,Ho. No.801 St. no.56  Farooqia Abbotabad,6-8-75,A level,7-8-94,A,C
89,Agha AAmer Kharasani,Kaleem Kharasani,H# 348 St. # 52  Khybar road PSH,8-4-74,A-Level,11-8-94,A,C
90,Sultana Masroor Hussaini,Masroor Hussaini,house # 662 Street No.47  Durre peshawar,8-1-74,FSc,14-8-94,A,C
91,Masud Sattar Laghari,Yaar Muhammad Arsalan Laghari,h# 977 Street No.10  Chittian hattian Attock,10-1-74,A-Level,17-8-94,A,C
92,Sunera Hussaini,Raja Rahat Hussaini,Ho. #  524 street #  5 Bara market psh,11-9-76,Fsc,21-8-94,A,C
93,Aslam Rahmat,Rahmat Moeen,house no. 838 S#  1 Farman block Sawat,13-6-76,F.Sc.,24-8-94,A,C
94,Rahid Rafi,Rafi Abdur Rasheed,ho. #  153 S#  96 Mitran walia Mansehra,13-6-76,Fsc,27-8-94,A,C
95,Haleema Haque,Abdul Hannan Haque,House No. 699 Street #  59 Lane 6 Mall road Peshawar,15-3-76,F.Sc.,1-8-94,A,C
96,Hafiz Yosaf Butt,Zamir Ajab Butt,H No. 14 s no. 55 Ghosia masjid chwok Abbotabad,15-11-75,HSSC,5-8-94,A,C
97,Rahat Safi Zaidi,Ibraheem Muazzam Zaidi,Ho. no. 329 s no. 50 Kamalia Haripur,17-11-75,A level,8-8-94,A,C
98,Kalsoom Butt,Rana Talha Butt,h no.875 St. no.45  Durre PESHAWAR,20-8-75,HSSC,11-8-94,A,C
99,Kabir Firdous,Firdous Ejaz,Ho. No.190 St. # 9  City Road Abbotabad,20-4-75,A level,14-8-94,A,C
100,Shuja Taimor Kharasani,Sahir Kharasani,H# 504 S No.4  Bara market PSH,22-5-74,A-Level,18-8-94,A,C
101,Jameela Ansary,Kabir Ansary,house # 51 Street No.99  Khybar road peshawar,22-1-74,FSc,21-8-94,A,C
102,Sh. Alam Kharasani,Shariq Malik Kharasani,h# 365 st. # 63  Bunkhar gali Attock,24-10-74,A-Level,24-8-94,A,C
103,Zameer Bhatti,Mohammed Sheharyar Bhatti,House #  680 st. #  58 Lane 6 Mall road peshawar,25-10-74,FSc,27-8-94,A,C
104,Rahat Iffan,Iffan Rai,house no. 227 S#  53 Muzafar shah Sawat,27-6-76,F.Sc.,2-8-94,A,C
105,Haseeb Sultan,Sultan Baqir,ho. #  541 Street #  49 Lakhan Mansehra,27-3-76,Fsc,5-8-94,A,C
106,Noor Jahan Shah,Zubair Shah,House No. 856 Street #  12 Durre Peshawar,29-3-76,F.Sc.,8-8-94,A,C
107,Qutab-ud-Din Pasha,Barkat Muaz Pasha,H No. 170 s#  7 Mandi Abbotabad,29-12-75,HSSC,12-8-94,A,C
108,Mohammed Khurram Shah,Mohammad Farzan Shah,Ho. no. 717 St. no. 3 Bara market Psh,2-8-75,A level,15-8-94,A,C
109,Abida Butt,Sheik Abdul Haseeb Butt,h no.31 St. # 98  Khybar road PESHAWAR,5-4-75,HSSC,18-8-94,A,C
110,Muamar Furqan,Furqan Kaleem,Ho. No.346 S No.61  Koral Abbotabad,5-5-75,A level,21-8-94,A,C
111,Qutab-ud-Din Amjad Durrani,Sohail Durrani,H# 893 Street No.56  Officers coloney PSH,7-1-74,A-Level,25-8-94,A,C
112,Afeera Ansary,Yaar Muhammad Ansary,house # 207 st. # 52  Bara market peshawar,7-10-74,FSc,28-8-94,A,C
113,Abdus Sattar Gondal,Zaran Ibrahim Gondal,h# 522 st. # 47  Byaar Attock,9-10-74,A-Level,2-8-94,A,C
114,Zulqur nain Rabbi Ansary,Choudhary Wajid Ansary,House # 68 S# 10  Durre peshawar,9-6-74,FSc,5-8-94,A,C
115,Zamir Najeeb,Najeeb Rasheed,house no. 383 Street #  6 kurang nala Sawat,12-3-76,F.Sc.,9-8-94,A,C
116,Amjad Tipu,Tipu Karam Illahi,ho. #  697 Street #  1 Chan chirag Mansehra,12-3-76,Fsc,12-8-94,A,C
117,Kaneez Satti,Zamir Satti,House No. 244 s#  64 Khybar road Peshawar,14-12-76,F.Sc.,15-8-94,A,C
118,Faisal Akram Chohan,Bakht Masud Chohan,Ho. #  559 St. no. 60 Saidpur road Sawat,14-8-76,Fsc,18-8-94,A,C
119,Sheikh Fakhir Shah,Sheikh Talha Shah,Ho. no. 873 St. no. 55 Officers coloney Psh,16-8-75,A level,22-8-94,A,C
120,Adila Aga Pervaiz Chohan,Aga Pervaiz Chohan,h no. 420 S No. 50 Bara market PESHAWAR,18-5-75,HSSC,25-8-94,A,C
121,Obaid Sageer,Sageer Shahroze,Ho. No.734 Street No.14  Farman block Abbotabad,19-1-75,A level,28-8-94,A,C
122,Sikandar Durrani,Zakir Durrani,H# 49 St. No.9  Air port coloney PSH,21-2-74,A-Level,3-8-94,A,C
123,Nafisa Jaffery,Shariq Jameel Jaffery,house # 363 st. # 4  Deinga Hasanabdal,21-10-74,FSc,6-8-94,A,C
124,Jan Moeen Gondal,Muneer Bulbul Gondal,h# 910 S# 0  Ghosia masjid chwok Attock,23-6-74,A-Level,9-8-94,A,C
125,Mohammed Babar Ansari,Sahibzada Rai Ansari,House # 225 street no.63  Khybar road peshawar,23-7-74,FSc,12-8-94,A,C
126,Abdul Qadeer Shaheen,Shaheen Muamar,house no.539 Street # 58  Zikria Sawat,25-3-76,F.Sc.,16-8-94,A,C
127,Hafiz Kalim Haqqie,Rizwan Haqqie,ho. #  86 s#  53 Officers coloney psh,26-12-76,Fsc,19-8-94,A,C
128,Huda Sehti,Barkat Sehti,House No. 400 s#  49 Bara market Peshawar,28-12-76,F.Sc.,22-8-94,A,C
129,Nawabzada Kashif Haqqie,Yosaf Ahmad Haqqie,Ho. #  715 St. no. 12 Illyas abad Sawat,28-8-76,Fsc,25-8-94,A,C
130,Masroor Baig,Syyed Abdul Haseeb Baig,Ho. no. 261 S No. 7 Air port coloney Psh,1-5-75,A level,29-8-94,A,C
131,Moeena Chohan,Muhammad Rahid Chohan,h no. 576 S No. 3 Officers coloney PESHAWAR,3-5-75,HSSC,3-8-94,A,C
132,Qasim Abdur Rasheed,Abdur Rasheed Fakhar,Ho. No. 891 St. No. 98 Muzafar shah Abbotabad,3-2-75,A level,6-8-94,A,C
133,Rana Siraj Khan,Jabbar Khan,H No.437 st. # 61  Khybar road PESHAWAR,6-10-75,HSSC,9-8-94,A,C
134,Rozina Jaffery,Zaran Hayyat Jaffery,house # 752 s no.57  Shehar bazar Hasanabdal,6-11-74,FSc,13-8-94,A,C
135,Zeeshan Wajid Khan,AAdil Raza Khan,h# 66 street no.52  Mandi Attock,8-7-74,A-Level,16-8-94,A,C
136,Rasheed Ansari,M. Rasheed Ansari,House # 613 Street # 15  Bara market peshawar,8-3-74,FSc,19-8-94,A,C
137,Danish Imran,Imran Karam,house no.927 St. # 11  Jamia masjid chowk Sawat,10-4-76,F.Sc.,23-8-94,A,C
138,Zishan Tufail Minhas,Mahtab Minhas,ho. #  242 s#  6 Air port coloney psh,11-12-76,Fsc,26-8-94,A,C
139,Farheen Sehti,Viqar-ul-Islam Sehti,House No. 789 street #  1 Officers coloney Peshawar,13-9-76,F.Sc.,29-8-94,A,C
140,Mouhammad Sarwar Haq,Osman Zameer Haq,Ho. #  103 street #  65 Saat meel Sawat,13-9-76,Fsc,3-8-94,A,C
141,Haseeb Sahir Sehti,Momd. Pervaiz Sehti,Ho. no. 418 S No. 60 Afridi block Psh,15-5-75,A level,7-8-94,A,C
142,Alina Abdul Mannan,Abdul Mannan Abdul Qadeer,h no. 732 St. No. 55 Shah malung Noshera,17-2-75,HSSC,10-8-94,A,C
143,Adil Ubaid,Ubaid Bulbul,Ho. No. 279 St. No. 50 kurang nala Abbotabad,17-2-75,A level,13-8-94,A,C
144,AAdil Shujaat Chatta,Shahid Chatta,H No.594 s no.14  Bara market PESHAWAR,20-11-75,HSSC,16-8-94,A,C
145,Rabia Muneer Waqas Kazmi,Muneer Waqas Kazmi,house # 908 street no.9  Akbar masjid Hasanabdal,20-7-74,FSc,20-8-94,A,C
146,Husain Khan,Furqan Kamran Khan,h# 455 street no.4  Main workshop Attock,22-7-74,A-Level,23-8-94,A,C
147,Amjad Kazmi,Chodhary Muamar Kazmi,House # 769 St. # 0  Officers coloney peshawar,22-4-74,FSc,26-8-94,A,C
148,Nimra Shahzor,Shahzor Rizwan,H# 84 s# 63  Surahi bazar Hasanabdal,24-12-74,A-Level,29-8-94,A,C
149,Anayyat Minhas,Sana Ullah Minhas,ho. # 630 Street No.58  Afridi block psh,24-1-76,Fsc,4-8-94,A,C
150,Malika Niazi,Yousaf Niazi,House No. 945 street #  54 Air port coloney Peshawar,27-9-76,F.Sc.,7-8-94,A,C
151,Kishwar Haq,Tipo Abdul Qadir Haq,Ho. #  260 S No. 17 Deinga Sawat,27-5-76,Fsc,10-8-94,A,C
152,Mohammad Abdul Mujeeb Awan,Sh. Rahid Awan,house no. 806 S#  12 Bara market Peshawar,29-6-76,F.Sc.,13-8-94,A,C
153,Sumiyya Kalim,Kalim Hamid,h no. 121 St. No. 8 Park road Noshera,2-2-75,HSSC,17-8-94,A,C
154,Rehan Rehmat,Rehmat Jabbar,Ho. No. 435 s no. 3 Zikria Abbotabad,2-11-75,A level,20-8-94,A,C
155,Agha Khurram Khanzada,Nazar Khanzada,H No. 982 s no. 66 Officers coloney PESHAWAR,4-11-75,HSSC,23-8-94,A,C
156,Iman Tipu Sana Ullah Usmani,Tipu Sana Ullah Usmani,house # 296 street no.62  Taj abad Hasanabdal,5-7-74,FSc,27-8-94,A,C
157,Syed Shakir Ismaili,Jan Baqir Ismaili,h# 611 St. # 57  Nizam pur Attock,7-4-74,A-Level,1-8-94,A,C
158,Tufail Hussaini,Mouhammad Arif Hussaini,House # 158 St. # 52  Air port coloney peshawar,7-4-74,FSc,4-8-94,A,C
159,Saba Osama,Osama Alam,H# 472 Street No.16  Biyaal Hasanabdal,9-1-74,A-Level,7-8-94,A,C
160,Ayyaz Abdul Mannan,Abdul Mannan Sameer,ho. # 787 street # 11  Karimabad Mansehra,9-9-76,Fsc,11-8-94,A,C
161,Kishwar Haque,Mujeeb Haque,House No.101 street # 6  Afridi block Peshawar,11-9-76,F.Sc.,14-8-94,A,C
162,Osman Paracha,Emmad-ud-Din Zulfiqar Paracha,Ho. #  648 S#  1 Shehar bazar Sawat,12-6-76,Fsc,17-8-94,A,C
163,Choudhary Sheharyar Zaidi,Mohammad AAmer Zaidi,house no. 962 St. No. 65 Officers coloney Peshawar,14-2-76,F.Sc.,20-8-94,A,C
164,Hajira Butt,Hafiz Mahtab Butt,h no. 277 Street #  60 University coloney PESHAWAR,16-3-75,HSSC,24-8-94,A,C
165,Mukhtar Hussain,Hussain Farooq,Ho. No. 824 s no. 55 Jamia masjid chowk Abbotabad,16-11-75,A level,27-8-94,A,C
166,Muzammil Husain Kharasani,Safi Kharasani,H No. 138 St. no. 19 Air port coloney PESHAWAR,18-8-75,HSSC,1-8-94,A,C
167,Jaleela Usmani,Atif Muzammil Usmani,Ho. no. 453 St. no. 14 Afangi block Noshera,18-8-75,A level,4-8-94,A,C
168,Shams-ul-Islam Kharasani,Sammi Tipo Kharasani,h# 999 St. # 9  Mutian wala Attock,21-4-74,A-Level,8-8-94,A,C
169,Noor Inayyat Bhatti,Choudhary Abdul kareem Bhatti,House # 314 Street No.5  Afridi block peshawar,21-1-74,FSc,11-8-94,A,C
170,Samman Rashid,Rashid Shams-ul-Islam,H# 628 street # 68  Shah malung Hasanabdal,23-9-74,A-Level,14-8-94,A,C
171,Abdur Rahim Bhatti,Arman Bhatti,ho. # 175 st. # 63  Afindi road psh,23-10-76,Fsc,18-8-94,A,C
172,Azra Kishwar Haque,Kishwar Haque,House No.490 S# 59  University coloney Peshawar,25-6-76,F.Sc.,21-8-94,A,C
173,Muneer Shakeel Pasha,Raza Sahir Pasha,Ho. #  804 St. No. 54 Akbar masjid Sawat,26-2-76,Fsc,24-8-94,A,C
174,Muslim Haque,Sheik Faisal Haque,house no. 351 Street #  17 Air port coloney Peshawar,28-3-76,F.Sc.,27-8-94,A,C
175,Afsheen Adnan,Adnan Aun,h no. 665 s no. 13 Jalabad Noshera,1-11-75,HSSC,2-8-94,A,C
176,Rahat Daniyal,Daniyal Nazar,Ho. No. 980 St. no. 8 Sherazia coloney Abbotabad,1-8-75,A level,5-8-94,A,C
177,Ramzan Butt,Usman Butt,H No. 294 St. no. 3 Afridi block PESHAWAR,3-8-75,HSSC,8-8-94,A,C
178,Fariha Ansary,Jan Yaar Muhammad Ansary,Ho. no. 841 St. #  66 Sukkhan abad Noshera,3-4-75,A level,11-8-94,A,C
179,Nazir Tabraiz Kharasani,Muzammil Muaz Kharasani,h# 156 Street No.62  Dhamiyal Attock,6-1-74,A-Level,15-8-94,A,C
180,Mirza Mustafa Ansary,Mirza Aslam Ansary,House # 470 Street No.57  University coloney peshawar,6-1-74,FSc,18-8-94,A,C
181,Anjum Qamar,Qamar Jabir,H# 17 st. # 20  Park road Hasanabdal,8-10-74,A-Level,21-8-94,A,C
182,M. Abdur Rasheed Bhatti,Mujeeb Bhatti,house # 331 S# 16  Air port coloney peshawar,8-6-74,FSc,24-8-94,A,C
183,Nida Satti,Mustansar Satti,House No.646 S# 11  Afindi road Peshawar,10-6-76,F.Sc.,28-8-94,A,C
184,Mouhammed Aftab Pasha,AAmer Furqan Pasha,Ho. # 192 Street # 6  Taj abad Sawat,10-3-76,Fsc,2-8-94,A,C
185,Mustamsir Shah,Syyed Munir Shah,house no. 507 s no. 70 Afridi block Peshawar,13-11-76,F.Sc.,5-8-94,A,C
186,Benazir Rahmat,Rahmat Abdul Malik,h no. 822 s#  65 Jalsa gha Noshera,15-12-75,HSSC,9-8-94,A,C
187,Zameer Annan,Annan Rafi,Ho. No. 368 St. no. 60 Karnianwala Abbotabad,15-8-75,A level,12-8-94,A,C
188,Ch. Ajmal Durrani,Zulqur nain Durrani,H No. 683 St. #  56 University coloney PESHAWAR,17-4-75,HSSC,15-8-94,A,C
189,Kalsoom Abbasi,Sammi Karam Illahi Abbasi,Ho. no. 997 S No. 19 Karkhana road Noshera,17-5-75,A level,18-8-94,A,C
190,Sheikh Ayyaz Gondal,Ch. Abdul Ahad Gondal,h#  544 Street No. 14 Industrial estate PSH,19-1-74,A-Level,22-8-94,A,C
191,Zeeshan Ansari,Sahibzada Shams Ansari,House # 859 st. # 10  Afindi road peshawar,20-10-74,FSc,25-8-94,A,C
192,Nafisa Husain,Husain Osama,H# 173 st. # 5  Bara bazar Hasanabdal,22-10-74,A-Level,28-8-94,A,C
193,Kaleem Ejaz Haqqie,Kishwar Haqqie,house # 720 S# 68  Afridi block peshawar,22-6-74,FSc,2-8-94,A,C
194,Atra Satti,Abdullah Satti,House No.34 Street # 63  Industrial estate Peshawar,24-3-76,F.Sc.,6-8-94,A,C
195,Umer Haqqie,Faisal Nazeer Haqqie,Ho. # 349 Street # 59  Shuakat coloney Sawat,24-3-76,Fsc,9-8-94,A,C
196,Kabir Osama Baig,Muhammad Saaleh Baig,house no.663 s# 54  University coloney Peshawar,26-12-76,F.Sc.,12-8-94,A,C
197,Huda Babar,Babar Mazhar,ho. #  210 St. no. 17 Hamdarad road Gilgit,29-8-76,Fsc,15-8-94,A,C
198,Abdul Qadeer Saleem,Saleem Kamran,Ho. No. 525 street #  13 Dak ghar Abbotabad,29-9-75,A level,19-8-94,A,C
